n_size,option,measurement_unit,mean
100000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
100000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15302
100000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12654
12000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,2636
12000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4190
12000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,3518
20000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,4068
20000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,6494
20000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,5398
2000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
2000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,14910
2000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12230
300000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
300000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15366
300000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12726
6000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1564
6000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,2478
6000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,2110
70000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
70000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15318
70000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12662
