n_size,option,measurement_unit,mean
300000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,0.0024088006932288407
300000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_delta,kilobytes,0.002832641266286373
300000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_gamma,kilobytes,0.0027134510688483714
300000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_fibonacci,kilobytes,0.002543386956676841
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.0006897739134728908
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,0.0006893160287290811
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_elias_delta,kilobytes,0.0006349175237119198
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_elias_gamma,kilobytes,0.0006585505791008473
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_fibonacci,kilobytes,0.0006419564131647348
300000,Original Data,kilobytes,0.006958142854273319
300000,TS Downsample - LTTBDownsampler,kilobytes,0.0006180748809129
300000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.000695801293477416
